Instrument,Price,Last Modified,Location,Description
Pittsburgh lifeform sv1 modulo,"€ 500,00",oggi alle 21:52,Prato,"vendo in perfetto stato sia esteticamente che funzionale,si cavetto midi e ribbon,no imballo originale.valuto scambi con moduli vco
PayPal bonifico bancario incluse spese di spedizione..."
Roland JD XA,"€ 1.150,00",oggi alle 21:50,Milano,"Vendo per problemi di spazio e necessità di monetizzare Roland JD XA in condizioni perfette, e perfettamente funzionante.
Completa di overlay originali Roland (difficili se non impossibili da trovare..."
Yamaha Psr52f,"€ 65,00",oggi alle 21:46,Salerno,Vendo splendida tastiera a 61 tasti mai usata….la vendo per errato acquisto….pagata 100 euro più 18 euro la custodia a parte ritiro a mano zona Salerno città non spedisco...
Access Virus INDIGO 2,"€ 800,00",oggi alle 21:41,Roma,"VENDO QUESTO BELLISIISMO SINTH NON HA BISOGNO DI PRESENTAZIONI tastiera a 3 ottave con Aftertouch!
COMPLETO DI BORSA



3386834553
REMO
..."
Yamaha Motif ES7 (***ULTIMO RIBASSO***),"€ 400,00",oggi alle 21:40,Catania,"Vendo storico Synth Motif ES7.

La scocca presenta segni di usura e i fianchetti danneggiati negli angoli ma la tastiera è perfettamente funzionante: display, tasti e manopole varie.

Custodia mor..."
Studiologic Sledge Black edition,"€ 570,00",oggi alle 21:40,Verona,"Perfettamente funzionante ed esteticamente più che buono...Manca imballo originale,ma assicuro in caso di spedizione un'imballo a prova di bomba...."
Roland Gaia  SH-01,"€ 300,00",oggi alle 21:37,Roma,"Ottime condizioni estetiche/funzionali usato pochissimo prezzo non trattabile , non spedisco...."
Korg DW-6000 del 1985 - Vintage Digital/Analog Polyphonic Synth! Spediz. gratis!,"€ 450,00",oggi alle 22:31,Forlì-Cesena,"Vendo mitico synth Korg DW-6000, prodotto in Giappone nel 1985!

NUMERO DI SERIE: 002342

CONDIZIONE: Questo Korg DW-6000 è perfettamente funzionante e in buone condizioni estetiche per la sua età..."
Nord LEAD 2X virtual analog,"€ 750,00",oggi alle 22:25,Pesaro e Urbino,"Non ha un graffio e funziona benissimo. Vendo per passare a Roland Fa07.
Non trattabile, sconto solo se acquistata con Motif XF7 dell'altro mio annuncio.
Mauro 3317464145..."
"Roland V-Synth, sintetizzatore campionatore","€ 1.700,00",oggi alle 22:13,Cuneo,"Vendo in condizioni come nuovo, usato pochissimo, con scheda PC card da 1 GB, il prezzo comprende spese di spedizione...."
Korg DW 8000,"€ 500,00",oggi alle 22:12,Cagliari,"In buono stato e perfettamente funzionante, con batteria tampone appena sostituita. Possibilità di spedizione a vostro carico...."
Roland Card M-256e,"€ 100,00",oggi alle 22:12,Cagliari,"Funzionante, senza confezione e con possibilità di spedizione a vostro carico..."
Vendo Roland boutique JU06 modulo più tastiera,"€ 300,00",oggi alle 22:06,Napoli,"Vendo Roland boutique JU06 compreso di tastiera
Causa inutilizzo, ottime condizioni, usato solo in casa studio.
Ps: non ho più gli scatoli, spedizione a carico mio
Pagamento PayPal 
Non scambio..."
ROLAND BOUTIQUE JX-03 CON TASTIERA K25M,"€ 360,00",oggi alle 21:57,Ancona,"Pari al nuovo, esteticamente e operativamente, tasti, tastini, switch e pomelli perfetti;

Tenuto sempre in studio non fumatore;

Zero graffi, scatole originali;

Editor VST plugin;

Disponibi..."
Roland U-20,"€ 125,00",oggi alle 21:57,Caltanissetta,"Tastiera funzionante in perfetto stato nonostante l'età usata sempre in studio preferisco ritiro in loco a Gela prov . caltanissetta ma posso anche spedire a carico destinatario
Nessuna colla rossa o..."
Clatters Machines - Pocket Garden Listener - random sequencer e generatore cv,"€ 230,00",oggi alle 21:56,Roma,"Acquistato a Marzo 2022, stato pari al nuovo (290€). 
Vendo per passaggio a eurorack. 
Completo di accessori e scatola originali. Alimentato via usb.
Spedizione assicurata inclusa.

- - - - - - -..."
CCTV Atari Goth Console - Atari Punk Console mod - drone noise synth,"€ 39,00",oggi alle 21:56,Roma,"Atari Goth Console assemblato da kit. 

- Alimentato a batteria 9v (inclusa), 2 jack per la comunicazione CV con altri strumenti modulari, 1 jack mono out, 2 oscillatori con potenziometri
- Si cont..."
Behringer Model d,"€ 250,00",oggi alle 21:52,Milano,"Vendo su Milano Behringer model d, o spedisco con spese a carico del compratore, prezzo non trattabile...."
hsta 01 baby 8 sequencer eurorack,"€ 50,00",oggi alle 21:52,Prato,"vendo modulo sequencer perfettamente funzionante
PayPal bonifico bancario
spese di spedizione escluse..."
clock o pawn  eurorack,"€ 70,00",oggi alle 21:52,Prato,"vendo modulo clock in ottimo stato
valuto scambi con altri moduli
spedizione a parte PayPal bonifico bancario..."
Pittsburgh lifeform sv1 modulo,"€ 500,00",oggi alle 21:52,Prato,"vendo in perfetto stato sia esteticamente che funzionale,si cavetto midi e ribbon,no imballo originale.valuto scambi con moduli vco
PayPal bonifico bancario incluse spese di spedizione..."
Roland JD XA,"€ 1.150,00",oggi alle 21:50,Milano,"Vendo per problemi di spazio e necessità di monetizzare Roland JD XA in condizioni perfette, e perfettamente funzionante.
Completa di overlay originali Roland (difficili se non impossibili da trovare..."
Yamaha Psr52f,"€ 65,00",oggi alle 21:46,Salerno,Vendo splendida tastiera a 61 tasti mai usata….la vendo per errato acquisto….pagata 100 euro più 18 euro la custodia a parte ritiro a mano zona Salerno città non spedisco...
Access Virus INDIGO 2,"€ 800,00",oggi alle 21:41,Roma,"VENDO QUESTO BELLISIISMO SINTH NON HA BISOGNO DI PRESENTAZIONI tastiera a 3 ottave con Aftertouch!
COMPLETO DI BORSA



3386834553
REMO
..."
Yamaha Motif ES7 (***ULTIMO RIBASSO***),"€ 400,00",oggi alle 21:40,Catania,"Vendo storico Synth Motif ES7.

La scocca presenta segni di usura e i fianchetti danneggiati negli angoli ma la tastiera è perfettamente funzionante: display, tasti e manopole varie.

Custodia mor..."
Studiologic Sledge Black edition,"€ 570,00",oggi alle 21:40,Verona,"Perfettamente funzionante ed esteticamente più che buono...Manca imballo originale,ma assicuro in caso di spedizione un'imballo a prova di bomba...."
Roland Gaia  SH-01,"€ 300,00",oggi alle 21:37,Roma,"Ottime condizioni estetiche/funzionali usato pochissimo prezzo non trattabile , non spedisco...."
Vendo tastiera synth Korg Trinity 61 tasti con flight case anni 90,"€ 330,00",oggi alle 21:36,Padova,"Vendo tastiera Korg Trinity 61 tasti con custodia rigida artigianale su misura.

La tastiera funziona al 100%, con tutti i tasti in perfette condizioni.

Lettore floppy perfettamente funzionante
..."
Novation Bass station 2 vendo/scambio,"€ 280,00",oggi alle 21:34,Avellino,"BS2 , scatola+ manuale +cavo +alimentatore , 
su qualche manopola la parte nera si è scollata, si può usare anche così seno il kit di ricambio 10 manopole costa 15 euro , valuto anche scambi ovviamen..."
Korg X50,"€ 320,00",oggi alle 21:22,Napoli,"Vendo perfettamente funzionante, completa di alimentatore originale e Manuali in italiano.
Leggera e performante. 
Contatto rapido whatsapp 3272526574..."
Korg MS-20 FS GREEN SPECIAL EDITION FULL SIZE,"€ 1.150,00",oggi alle 21:16,Ancona,"Acquistato nuovo il 6 settembre 2022 vendo per errato acquisto. In garanzia, compreso di scatolone e fogli vari. Usato solo per provarlo, praticamente nuovo...."
Xaoc Devices Moskwa Eurorack sequencer,"€ 280,00",oggi alle 21:14,Savona,"Vendesi come da titolo sequencer Moskwa perfetto, no rack rash, tenuto maniacalmente e con scatola originale.
Accetto PayPal f&f o +4% della tariffa;
Spese di spedizione incluse...."
Hydrasynth Desktop,"€ 560,00",oggi alle 21:11,Roma,"Prezzo ribassato. NO PERDITEMPO, per favore scrivete solo se siete veramente interessati, non fatemi stare due giorni a spiegare pure ogni singolo parametro modulabile e poi dite che non ve la potete ..."
Roland Super jx  vendo/cambio,prezzo su richiesta,oggi alle 21:06,Grosseto,"Vendo il suddetto sinth in condizioni impeccabili come da foto, software aggiornato con modifica vecoven. 
Cambio con strumenti analogici a tastiera, anche più di uno se inferiori del valore commerci..."
Sequential Circuits Prophet 5 rev. 3.3,prezzo su richiesta,oggi alle 21:06,Grosseto,"Vendo/cambio Prophet 5, anno 1983 in condizioni impeccabili, non credo in giro ci sia di meglio, dentro e fuori. Strumento storico, considerato dai più la versione migliore e affidabile. 
Cambio con ..."
Arturia Minibrute 2s Noir,"€ 360,00",oggi alle 20:50,Torino,"Vendo in perfette condizioni estetiche e funzionali. Acquistato circa 3 mesi fa Nuovo!

Garanzia
Imballo e accessori originali

Vendo o scambio SOLO CON ANALOG FOUR MK1

Non esitate a contattar..."
Korg Poly800,"€ 190,00",oggi alle 20:47,Milano,"Vendo Korg poly 800 MKI.
Un tasto non funzionante. Dovrebbe bastare una semplice pulizia dei contatti...."
Korg Wavestation EX Wood come nuova perfetta uniproprietario 1994,"€ 599,00",oggi alle 20:42,Foggia,"Vendo Korg Wavestation EX versione WOOD. Pari al nuovo, condizioni da vetrina.  Uniproprietario del 1994. Magnifica come potete vedere dalle fotografie. 

Qualsiasi Prova. È incluso:
- Manuale orig..."
16 Voci Waldorf Quantum Shadow 30th Anniversary Synth Analogico Digitale,"€ 5.999,00",oggi alle 20:42,Foggia,"Vendo nuova garanzia 24 mesi Sintetizzatore Analogico Digitale

Waldorf Quantum Shadow (edizione Limitata): il synth del futuro che non diventerà mai più economico le cui quotazioni sono destinate a..."
Organelle M+analog case ACCETTO SCAMBIO,"€ 500,00",oggi alle 20:39,Bologna,"Perfetto in ogni sua parte, letteralmente come nuovo. Venduto analog case su misura. Accetto scambi!

Spese di spedizione comprese nel prezzo!!..."
Waldorf Blofeld Desktop,"€ 420,00",oggi alle 20:37,Torino,"Vendesi Waldorf Blofeld Desktop in condizioni come nuovo, comprensivo di alimentatore originale, staffe removibili per mantenerlo in posizione verticale acquistate in seguito ed incluse più di 100 lib..."
Theremin a Valvole - Pegna Model Satie,"€ 389,00",oggi alle 20:36,Cagliari,"Splendido Theremin a valvole da concerto,
Pegna Musical Instruments - Model Satie.

Interamente valvolare, con antenna Pitch e antenna Volume. 
Strumento di estrema qualità, usato in orchestra, da..."
Dreadbox Erebus V2,"€ 400,00",oggi alle 20:32,Milano,"Vendo Dreadbox Erebus V2 come nuovo, perfettamente funzionante ed esteticamente immacolato. Compreso di alimentatore e 2 cavi CV/Gate.
Contattatemi solo se realmente interessati, non rispondo a perdi..."
Dreadbox NYX,"€ 440,00",oggi alle 20:32,Milano,"Vendo Dreadbox NYX come nuovo, perfettamente funzionante ed esteticamente immacolato. Compreso di alimentatore e 2 cavi CV/Gate.
Contattatemi solo se realmente interessati, non rispondo a perditempo...."
Yamaha MOTIF ES7,"€ 530,00",oggi alle 20:29,Bari,"Spendido Synth / Workstation Yamaha MOTIF ES7. Eccellente tastiera a 76 tasti semipesati. Il Synth è perfettamente funzionante, appena completamente revisionato.
La scocca presenta qualche lieve graf..."
Roland Mc 202 splendido synth usato da aphex Twin / john frusciante,"€ 1.000,00",oggi alle 20:26,Varese,"Vendo splendido synt vintage di casa roland suono spettacolare usato dai più grandi,condizioni ottime con manuale istruzione e alimentazione originale..."
Modal Argon 8 vendo o scambio,"€ 470,00",oggi alle 20:24,Arezzo,"Scambio (o al limite vendo)  Modal Argon 8, synth wavetable a 37 tasti praticamente nuovo con altro sintetizzatore di pari valore e di mio interesse; perfetto in ogni sua parte, utilizzato pochissimo,..."
VOLCA. BASS.KEY.BEATS.MIX.+ALESISq49,"€ 330,00",oggi alle 20:23,Reggio nell'Emilia,"vendo della serie VOLCA, Korg:volca Bass, Korg volca Key, Korg volca beats. Korg volca Mix
vendo il set completo +ALESIS q49, le condizioni strumento sono ottime, vedi photo, consegna a mano, no sped..."
Roland JUNO 60,"€ 4.000,00",oggi alle 20:14,Brescia,Vendo Roland Juno 60 in perfette condizioni...
Korg Volca FM + Volca SAMPLE OKGO + ALIMENTATORI + SUPPORTI,"€ 200,00",oggi alle 20:06,Cosenza,"Vendo Korg Volca Fm + Sample OKGO + alimentatori originali + supporti

Utilizzati poco e sempre in studio.
In ottime condizioni , completi di scatola


PRIMA DELLA SPEDIZIONE : Invio video sulle..."
Roland MC 202 + MOD. CV/GATE/FILTER/PORTA - da revisionare-,"€ 780,00",oggi alle 20:06,Cosenza,"Svendo Synth Sequencer Monofonico , utilizzato poco e sempre in studio.
In ottime condizioni , modifica con : cv , gate, filter, porta. (laterale come da foto)

Testandolo dopo tempo mi sono accort..."
Kalvis Logica xt eurorack,"€ 80,00",oggi alle 20:03,Torino,"Ciao a tutti, vendo per monetizzare il modulo in questione, in ottime condizioni. Modulo logico con moltissime possibilità, tre input e controllo cv per la modalità di uso. Vendo con ribbon e viti, no..."
DNIPRO Dot eurorack,"€ 160,00",oggi alle 20:03,Torino,"Ciao a tutti, vendo per inutilizzo il modulo in questione. euclidean sequencer con tre canali a 16 steps e varie modalità es: steps lenght, Ratchet ecc..
Molto pratico e versatile per l'esibizione li..."
sintetizzatore korg modwave,"€ 440,00",oggi alle 20:03,Torino,"come nuovo
in garanzia fino a dicembre 2023
completo di accessori, licenze e scatola

no scambi

consegna a mano a torino e provincia o spedizione a carico dell'acquirente
..."
"Riparazione Roland Juno 106 eseguiamo ripristino voci, sverniciatura chip voci",prezzo su richiesta,,Milano (MI),"Su Roland Juno 106 eseguiamo intervento di ripristino delle voci, sverniciando e togliendo completamente la resina che ricopre le voci e che causa diversi malfunzionamenti. Eseguiamo anche il check up..."
"Riparazione Synth, Tastiere, piani digitali, assistenza tecnica a Milano",prezzo su richiesta,,Milano (MI),"Electric Piano Italia, laboratorio di assistenza tecnica
fornisce servizio di riparazione e assistenza tecnica di Synth,
tastiere ed expander digitali e analogici, inoltre forniamo
assistenza su am..."
Roland Juno 106,"€ 2.000,00",,Milano (MI),"Roland Juno 106 analogico in eccellenti condizioni, è stato interamente revisionato, le voci e i filtri sono stati tutti sostituiti con nuovi chip. Ricaricati i banchi timbrici originali.
Info 349378..."
Dave Smith Instruments Prophet 6 desktop,"€ 1.749,00",oggi alle 19:47,Pavia,"Vendo per chiusura studio
Ottime condizioni e perfettamente funzionante con scatola e istruzioni, unico proprietario. Sempre tenuto in studio smoke free.
Strumento stupendo, l’ultimo che ha fatto Da..."
Roland Jp-08,"€ 300,00",oggi alle 19:46,Pavia,"Vendo Roland boutique jp-08 
completo di tutto il corredo originale più cavo alimentazione extra non incluso. 
Usato realmente un paio di volte in studio smoke free. 
Primo proprietario. Suona davv..."
Qu-Bit Electronix CHANCE,"€ 260,00",oggi alle 19:45,Ancona,"Vendo per abbandono progetto modulare
compreso di scatola
paypal e spedizione gls comprese nel prezzo..."
Intellijel OUTS,"€ 110,00",oggi alle 19:45,Ancona,"Vendo per abbandono progetto modulare
compresi di scatola 
prezzo al singolo pezzo, se vorreste prenderli entrambi 200
compresi di scatola
spese paypal e spedizione gls comprese nel prezzo..."
Moog Matriarch,"€ 1.700,00",oggi alle 19:45,Ancona,"Vendo per passaggio ad altro synth
Non scambio 
In garanzia, acquistato 3/4 mesi fa 
PayPal e spedizione gls a carico mio..."
eurorack Elby Design ED103 - MIDI Trigger - midi to trig con accent indipendenti,"€ 100,00",oggi alle 19:44,Firenze,"Elby Design ED103 - MIDI Trigger. Modificato da Elby su mia richiesta per avere anche l'opzione 4 trig + 4 accents indipendenti su ogni trig.   
leggero rack rash 100€

ritiro a mano su Firenze o s..."
Erica Synth Das kleine Fusion (spedizione inclusa),"€ 1.250,00",oggi alle 19:39,Bergamo,"Un anno di vita, immacolato con imballi originali e cavi ancora da aprire, macchina incredibile, è identico al modello Fusion 2 tranne che per l'assenza del modulo del Delay.

Come potete leggere so..."
Hydrasynth desktop (spedizione inclusa),"€ 580,00",oggi alle 19:39,Bergamo,"Praticamente nuovo, comprato questa estate da strumenti musicali.net, bellissimo ma non mi serve, preferisco i vst, allego regolare ricevuta del negozio che vale come garanzia.

Niente scambi..."
"Verbos Multi Envelope (NO SERGE, DOEPFER, MAKE NOISE, 4MS, INTELLIJEL, TIPTOP)","€ 390,00",oggi alle 19:39,Teramo,"Salve a tutti 


Come da titolo e foto vendo modulo Verbos Electronics - Multi-Envelope 


PERFETTAMENTE FUNZIONANTE però ci tengo a precisare che il led del “end pulse” del secondo inviluppo no..."
General Music Equinox 76 tasti,"€ 400,00",oggi alle 19:29,Ferrara,"Salve a tutti e tutte. Vendo a malincuore gem tenuta veramente bene. Sostituito floppy disk con lettore gotek oled. Chiavetta usb con suoni, più semplice e comodo. Cambiata pila e tutti i contatti dei..."
Synth Casio,"€ 230,00",oggi alle 19:29,Ferrara,"Qualche segno sullo chassis...ma funziona alla grande.  Alimentatore e manuali originali. Spedisco anche, con imballo originale. Compresa nel prezzo.  Suoni e tastiera con un carattere deciso. Vale la..."
Sequential Prophet 5 rev.4 in garanzia fino a marzo 2024,"€ 2.900,00",oggi alle 19:27,Milano,"Vendo Sequential Prophet 5 rev.4 in garanzia fino a marzo 2024.
Condizioni estetiche e di funzionamento perfette. Aggiornato all'ultimo os. 
Compreso di imballo originale, manuale, fattura per garan..."
Korg Volca Sample + alimentatore,"€ 100,00",oggi alle 19:27,Milano,"Vendo Korg Volca Sample in ottime condizioni e perfettamente funzionante. 
Completo di imballo originale e alimentatore opzionale. 
Non scambio.

Consegna a mano zona Milano o spedizione a carico...."
Behringer ARP Odyssey,"€ 500,00",oggi alle 19:26,Napoli,"Come da titolo vendo Behringer Odyssey ARP 
..."
"Korg wavestate pari al nuovo, mai usata del 06-12-2022 con garanz.","€ 450,00",oggi alle 19:18,Viterbo,"Korg Wavestate nuovissima e mai usata, del 06-12-2022, solo accesa il primo giorno che è arrivata per nemmeno 30 minuti, tempo di capire che non fa per me, e riposta nella sua scatolo originale, e con..."
Elektron Model Cycles pari al nuovo e mai usata del 7/10/2022 con garanz,"€ 220,00",oggi alle 19:18,Viterbo,"Elektron Model Cycles nuovissima e mai usata, del 07-10-2022, quindi ha 3 mesi...
Solo accesa il primo giorno che è arrivata per nemmeno 20 minuti, tempo di capire che non fa per me, e riposta nella ..."
BEHRINGER 903A RANDOM SIGNAL GENERATOR,"€ 45,00",oggi alle 19:15,Pistoia,"Vendo questo modulo noise per inutilizzo.
Spedisco con box originale, 2 viti per il rack ed il power cable.
Condizioni perfette.

Nel prezzo è già compresa la spedizione.
In caso di consegna a ma..."
BEHRINGER 1004 OSCILLATOR MODULE,"€ 85,00",oggi alle 19:15,Pistoia,"Vendo questo modulo oscillatore per inutilizzo.
Spedisco con box originale, 4 viti per il rack ed il power cable.
Condizioni perfette.

Nel prezzo è già compresa la spedizione.
In caso di consegn..."
Doepfer A-150-1,"€ 45,00",oggi alle 19:15,Pistoia,"Vendo questo modulo switches per inutilizzo.
Spedisco solo con il power cable (è tutto ciò che mi hanno dato quando lo ho comprato).
Condizioni perfette.

Nel prezzo è già compresa la spedizione...."
DOEPFER A-184-1,"€ 65,00",oggi alle 19:15,Pistoia,"Vendo questo modulo ring modulator / sample & hold / slew limiter per inutilizzo.
Spedisco solo con il power cable (è tutto ciò che mi hanno dato quando lo ho acquistato)
Condizioni perfette.

Nel..."
DREADBOX UTOPIA,"€ 85,00",oggi alle 19:15,Pistoia,"Vendo questo modulo CV/Audio Manipulator per inutilizzo.
Spedisco con box originale, 4 viti per il rack ed il power cable.
Condizioni perfette.

Nel prezzo è già compresa la spedizione.
In caso d..."
Tiptop Audio One,"€ 150,00",oggi alle 19:15,Pistoia,"Vendo questo modulo sampler / sample player per inutilizzo.
Spedisco con box originale, 2 viti per il rack, il power cable ed una micro-SD contenente il pacchetto VCTRS.-
Condizioni perfette.

Spe..."
Korg PS60,"€ 300,00",oggi alle 19:13,Potenza,"Vendo synth Korg PS 60, perfetto sia esteticamente che nel funzionamento, spese di spedizione incluse...."
ASM Hydrasynth Desktop,"€ 650,00",oggi alle 19:12,Torino,"Vendo Hydrasynth versione desktop praticamente nuovo, acquistato a luglio 2022  (su strumenti musicali, fornisco fattura di acquisto) usato pochissime volte, è completo di scatola e alimentatore.
Non..."
"Doepfer Moduli (no make noise, mutable, verbos ecc..)","€ 1.400,00",oggi alle 19:12,Torino,"Vendo in blocco i seguenti moduli doepfer:

A-110-2 BASIC VCO
A-111-2 HIGH END VCO
A-111-1 HIGH END VCO (è la prima versione con circuito CEM3340)
A-114 RING MOD
A-138i INTERRUPTING MIXER
A-150..."
Doepfer A-100 P9 PSU3,"€ 500,00",oggi alle 19:12,Pistoia,"Vendo case usato solo in studio non fumatore, come nuovo. L'oggetto viene venduto con fattura per 500 euro iva compresa.
Consegna a mano in zona Pistoia, Livorno, Rovigo (eventualmente Bologna).
Ste..."
Mdlr Case 12U 104hp Performer Series MK1,"€ 800,00",oggi alle 19:12,Pistoia,"Causa acquisto big case, vendo case usato solo in studio, come nuovo. L'oggetto viene venduto con fattura per 800 euro iva compresa.
Consegna a mano in zona Pistoia, Livorno, Rovigo (eventualmente Bo..."
Dave Smith Instruments EVOLVER DESKTOP,"€ 450,00",oggi alle 19:07,Napoli,"condizioni PERFETTE, come nuovo, completo di alimentatore originale e banchi di suoni aggiuntivi LFO store. NO SCAMBI
Sintetizzatore monofonico
Quattro oscillatori in totale: due analogici, due digi..."
Yamaha Motif XS6,"€ 1.200,00",oggi alle 19:00,Ferrara,"Vendo sintetizzatore Yamaha XS6 perfetto, usato poco, completo di custodia rigida (flight case) e morbida. Istruzioni in italiano e originali in inglese. Regalo pedale volume Proel e leggio mai usato,..."
EKO DREAM BOX 15 - BATTERIA ELETTRONICA ANALOGICA,"€ 150,00",oggi alle 18:59,Bologna,"Batteria analogica made in Recanati funzionante e ben mantenuta.
Invio foto e video.
Spedibile
Contatti 3280386051..."
KORG POLY 800 MKII,"€ 300,00",oggi alle 18:59,Bologna,"Perfettamente mantenuta e funzionante in tutto.
Suoni originali di fabbrica.

The Korg Poly-800 II is a 49 key (4|8 voice polyphonic) synthesizer, featuring dual oscillators (additive square wavefo..."
Behringer td-3 am,"€ 90,00",oggi alle 18:54,Roma,"Behringer td-3 am (giallo) praticamente nuovo, aperto per verifica funzionamento ma mai usato. Prezzo non trattabile, solo consegna a mano Roma Monteverde e zone limitrofe, oppure Siena. Non spedisco...."
shakmat bishop's miscellany eurorack,"€ 200,00",oggi alle 18:49,Torino,"Modulo sequencer/CV/gate recorder con opzioni molto interessanti.
Come nuovo.
No RR.
Valuto scambio con altri moduli.
Spedizione a carico acquirente.

..."
Scambio Tracker con eurorack,"€ 450,00",oggi alle 18:49,Torino,"Tracker in perfette condizioni con scatola e dotazioni come nuovo.
Valuto scambio con moduli eurorack di mio gradimento.
Spedizione compresa...."
Hydrasynth Explorer,"€ 530,00",oggi alle 18:36,Ragusa,"L'Hydrasynth Explorer è il massimo in termini di potenza e trasportabilità, con il potente motore sonoro Hydrasynth insieme al funzionamento a batteria ed un nuovo keybed di medie dimensioni aftertouc..."
Moog Little Phatty Stage 1,"€ 900,00",oggi alle 18:33,Brescia,"Non ho interesse a permute o scambi.
Non spedisco, ma consegno zona Brescia Bergamo Verona.
Potete provarlo da me.

Il synth è tenuto bene, piccoli segni di usura solo sul retro. Frontalmente perf..."
Vintage russian synth (1985) Kirovski Ritm 2 con CV Gate MOD,"€ 900,00",oggi alle 18:31,Brindisi,"Kirovski Ritm 2 con CV Gate MOD effettuata da Schneiderladen a Berlino, in modo da poter utilizzare il midi con un convertitore Midi/CV - Gate tipo Kenton.
In ottime condizione per l'eta'.Perfettamen..."
Elka Ek44,"€ 300,00",oggi alle 18:27,Asti,"Vendo Elka Ek44 o scambio con campionatore a pad.
(Stand alone)..."
Roland D-10,"€ 150,00",oggi alle 18:27,Asti,vendo o scambio con qualcosa di mio gradimento....
Roland D - 20,"€ 140,00",oggi alle 18:26,Pesaro e Urbino,"Roland D-20 61 Keys - Linear Synthesizer / MultiTrack Sequencer perfettamente funzionante e tenuta benissimo.
Tastiera innovativa per i tempi che prevede l'utilizzo di campioni per l'attacco dei suon..."
"Eurorack, Strymon, Erica Synths, Doepfer","€ 1.600,00",oggi alle 18:20,Milano,"Modulare nuovo, MAI usato. Spazio per altri moduli a vostro piacimento. Quello che vedete in basso è un riverbero a molla. Completo di alimentatore e cavoli di collegamento. Vendo solo in blocco a 160..."
Analogue Solutions Telemark,"€ 1.000,00",oggi alle 18:20,Milano,"Synth semi modulare bellissimo, full analog, bassi poderosi. Introvabile in quanto andato fuori produzione.
Vendo per eccesso di strumentazione.
1000€...."
Analogue Solutions Vostok,"€ 2.000,00",oggi alle 18:20,Milano,"Vendo per eccesso di strumentazione modulare Vostok V1 della Analogue Solutions. Una bestia rara. 
Completo di cavi di connessione e pin per il Matrix control...."
Teenage Engineering Op - 1,"€ 800,00",oggi alle 18:20,Milano,Comprato e MAI usato. Vendo per eccesso di strumentazione....
Roland MC 50 vintage composer sequencer,"€ 40,00",oggi alle 18:17,Milano,Funzionante.... estetica un po' vissuta.... alimentare.... manuale se serve...
